Otu,domain,phylum,class,order,family,genus,species
ASV14,Eukaryota,NA,Tubulinea,NA,NA,BOLA868,NA
ASV22,Eukaryota,NA,Chrysophyceae,Chromulinales,NA,Spumella,NA
ASV39,Eukaryota,Ciliophora,Intramacronucleata,Litostomatea,Haptoria,NA,NA
ASV94,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Vorticella,NA
ASV41,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Chilodonella,NA
ASV61,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV131,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV7,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Achnanthidium,NA
ASV67,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV56,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Phascolodon,NA
ASV73,Eukaryota,NA,NA,NA,NA,NA,NA
ASV21,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV25,Eukaryota,Cryptomycota,NA,NA,NA,NA,NA
ASV37,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Navicula,NA
ASV23,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV59,Eukaryota,NA,Chrysophyceae,Ochromonadales,NA,Paraphysomonas,NA
ASV19,Eukaryota,NA,NA,NA,NA,NA,NA
ASV78,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV42,Eukaryota,NA,NA,NA,NA,NA,NA
ASV87,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Hemiurosomoida,NA
ASV91,Eukaryota,NA,Chlorophyceae,Sphaeropleales,NA,Dictyococcus,NA
ASV166,Eukaryota,Rotifera,Monogononta,Ploimida,NA,NA,NA
ASV32,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,Gomphonema,NA
ASV114,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
ASV76,Eukaryota,NA,NA,NA,NA,NA,NA
ASV126,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Rhizaspididae,Rhogostoma,NA
ASV72,Eukaryota,Diatomea,Bacillariophyceae,NA,NA,NA,NA
